"pop_size","pop_density","pop_ID","area","type","long","lat","county"
519.195693969727,987.728359924459,1,0.52564623537734,"U",-109.16666667,35.83333334,"low"
307.805114746094,1139.28742468674,2,0.270173362819948,"U",-109.375,34.50277778,"low"
301.948211669922,1147.95896242254,3,0.263030492860756,"U",-109.85416666,34.07916667,"low"
2497.66593933105,1579.89007424666,4,1.58091121657436,"U",-109.83333333,35.5,"low"
201.17790222168,762.690842897587,5,0.263773852924957,"U",-109.07275641,35.70288461,"low"
4837.69873046875,1404.37041884805,6,3.44474553546701,"U",-109.5,34.16666667,"low"
448.285293579102,845.982860056812,7,0.529898789614954,"U",-109.83333333,34.5,"low"
227.915893554688,858.028318312997,8,0.265627472532377,"U",-109.16666667,35.16666667,"low"
1923.59375,1192.5286624042,9,1.61303774965201,"U",-109.83333333,36.83333334,"low"
4365.11854553223,1243.30507276178,10,3.51089900714063,"U",-109.5,34.5,"low"
1464.10609052481,3.50281264073823,11,417.980132164946,"R",-109.16666667,36.16666667,"low"
2696.96502663656,6.45237612770617,12,417.980132164946,"R",-109.83333333,35.83333334,"low"
1581.2649073671,3.78311021429864,13,417.980132164946,"R",-109.8875,36.07083333,"low"
1359.96320737873,3.23983560939555,14,419.763028542198,"R",-109.16666666,36.5,"low"
3506.52535986194,8.35358314437508,15,419.763028542198,"R",-109.16666666,35.5,"low"
3329.21652169891,7.93118091714986,16,419.763028542198,"R",-109.5,35.5,"low"
1824.38207724082,4.32798451748528,17,421.531562756341,"R",-109.54166666,35.7125,"low"
6527.40484217761,15.4849729389082,18,421.531562756341,"R",-109.5,36.5,"low"
2106.06046402056,4.99621060460883,19,421.531562756341,"R",-109.5,35.16666666,"low"
2190.76362333259,5.17561475014761,20,423.285682781956,"R",-109.52916666,35.50416667,"low"
4433.34816300403,10.4736548939402,21,423.285682781956,"R",-109.83333333,36.5,"low"
4449.95734146208,10.512893590484,22,423.285682781956,"R",-109.58611112,36.15833334,"low"
697.021460538178,1.63995272672549,23,425.025337120497,"R",-109.2125,36.29583333,"low"
1926.31157242497,4.53222762077089,24,425.025337120497,"R",-109.5,35.83333334,"low"
2771.34612639443,6.52042568843077,25,425.025337120497,"R",-109.5,36.83333334,"low"
874.289700627088,2.04871406654537,26,426.750474799714,"R",-109.62083334,36.35833334,"low"
3625.81405514241,8.49633279692098,27,426.750474799714,"R",-109.83333333,34.16666667,"low"
1615.46603671674,3.75552656497319,28,430.156998963545,"R",-109.16666667,33.83333334,"low"
2756.48622077223,6.40809338779547,29,430.156998963545,"R",-109.16666667,36.83333334,"low"
2453.67127625691,5.68192157792604,30,431.838286151165,"R",-109.28429487,34.1125,"low"
621.786113277572,1.4398586999299,31,431.838286151165,"R",-109.83333333,36.16666667,"low"
3078.6011948026,7.12906033006285,32,431.838286151165,"R",-109.16666667,34.16666667,"low"
771.746324996304,1.78024838841872,33,433.50485809556,"R",-109.5,36.16666667,"low"
