"pop_size","pop_density","pop_ID","area","type","long","lat","county"
1019881.57823181,3060.75522593347,1,333.212394637264,"U",-112.16666667,32.01666667,"mid"
3063.2961730957,1589.14687511347,2,1.92763565222816,"U",-111.875,31.9125,"mid"
1167.14517211914,1054.28354420386,3,1.10705054492765,"U",-111.16666666,32.35,"mid"
1006.48142135894,2.28360981898519,4,440.741414313153,"R",-110.83333333,32.01666667,"mid"
1261.939947284,2.86322071469183,5,440.741414313153,"R",-110.83333333,32.35,"mid"
1994.62944044203,4.52562290646198,6,440.741414313148,"R",-111.83333333,32.01666667,"mid"
32696.1078883384,74.1843330953859,7,440.741414313153,"R",-111.16666666,32.01666667,"mid"
19046.8326157308,43.2154365284986,8,440.741414313153,"R",-111.16666666,31.68333334,"mid"
496.427445958456,1.1223088334385,9,442.326952410698,"R",-110.5,32.01666667,"mid"
835.332248071888,1.88849502278642,10,442.326952410698,"R",-111.83333333,31.68333334,"mid"
2514.60068458055,5.68493660826201,11,442.326952410698,"R",-110.94729581,32.22415149,"mid"
538.369803227825,1.2171309034951,12,442.326952410663,"R",-112.16666666,32.35,"mid"
17186.1878841868,38.854037246705,13,442.326952410698,"R",-112.83333333,32.35,"mid"
26431.0191058591,59.7544846901349,14,442.326952410698,"R",-111.5,32.01666667,"mid"
2576.56161875144,5.82501609885874,15,442.326952410698,"R",-112.86845238,32.37916667,"mid"
1160.72262506559,2.61484395902876,16,443.897472756547,"R",-111.5,32.35,"mid"
3553.80558105996,8.0059153276798,17,443.897472756547,"R",-110.83333333,31.68333334,"mid"
1475.56072445352,3.3241025574903,18,443.897472756547,"R",-112.5,32.01666667,"mid"
